"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.478175000E-2,-3.008743286E-2,1.916015625E-2,9.834698639E0,9.834763326E0
3.480075000E-2,-3.008743286E-2,2.514770508E-2,9.833501129E0,9.833579314E0
4.481975000E-2,-2.993774414E-2,1.152603149E-2,9.830507355E0,9.830559698E0
5.483874999E-2,-2.589614868E-2,2.080673218E-2,9.827214203E0,9.827270349E0
6.485775000E-2,-2.589614868E-2,1.841171265E-2,9.822424164E0,9.822475556E0
7.487675000E-2,-2.799179077E-2,2.709365845E-2,9.833351440E0,9.833428606E0
8.489575000E-2,-3.233276367E-2,1.496887207E-2,9.831255798E0,9.831320361E0
9.491475000E-2,-2.559677124E-2,1.586700439E-2,9.835746460E0,9.835792565E0
1.049337500E-1,-1.841171265E-2,2.664459229E-2,9.837842102E0,9.837895413E0
1.149537500E-1,-2.859054565E-2,2.649490356E-2,9.829010468E0,9.829087759E0
1.249717500E-1,-3.547622681E-2,2.005828857E-2,9.833650818E0,9.833735267E0
1.349917500E-1,-2.350112915E-2,1.571731567E-2,9.835447083E0,9.835487718E0
1.450107500E-1,-2.888992310E-2,1.856140137E-2,9.835596771E0,9.835656714E0
1.550297500E-1,-3.487747192E-2,1.945953369E-2,9.822723541E0,9.822804736E0
1.650487500E-1,-2.724334717E-2,2.185455322E-2,9.836494904E0,9.836556908E0
1.750677500E-1,-1.856140137E-2,1.407073975E-2,9.821376343E0,9.821403962E0
1.850867500E-1,-2.799179077E-2,7.933502197E-3,9.834848328E0,9.834891362E0
1.951057500E-1,-2.874023438E-2,1.257385254E-2,9.838889923E0,9.838939934E0
2.051247500E-1,-2.814147949E-2,1.481918335E-2,9.836794281E0,9.836845698E0
2.151437500E-1,-3.128494263E-2,1.930984497E-2,9.826765137E0,9.826833909E0
2.251627500E-1,-2.559677124E-2,2.290237427E-2,9.824968872E0,9.825028908E0
2.351817500E-1,-2.888992310E-2,2.050735474E-2,9.828561401E0,9.828625255E0
2.452007500E-1,-3.637435913E-2,2.140548706E-2,9.840835876E0,9.840926381E0
2.552197500E-1,-2.619552612E-2,2.230361938E-2,9.834848328E0,9.834908504E0
2.652387500E-1,-2.230361938E-2,7.933502197E-3,9.825417938E0,9.825446456E0
